n,c,trial
17600,515,2
17700,556,2
17800,675,2
17900,450,2
18000,789,2
18100,329,2
18200,454,2
18300,466,2
18400,621,2
18500,681,2
18600,215,2
18700,573,2
18800,623,2
18900,592,2
19000,767,2
19100,520,2
19200,845,2
19300,616,2
19400,472,2
19500,471,2
19600,661,2
19700,385,2
19800,589,2
19900,447,2
20000,865,2
20100,789,2
20200,549,2
20300,519,2
20400,518,2
20500,727,2
20600,539,2
20700,584,2
20800,638,2
20900,643,2
21000,558,2
21100,498,2
21200,610,2
21300,530,2
21400,358,2
21500,591,2
21600,977,2
21700,636,2
21800,278,2
21900,356,2
22000,791,2
22100,522,2
22200,352,2
22300,532,2
22400,407,2
22500,784,2
22600,713,2
22700,317,2
22800,252,2
22900,626,2
23000,513,2
23100,414,2
23200,864,2
23300,855,2
23400,448,2
23500,682,2
23600,809,2
23700,508,2
23800,836,2
23900,630,2
24000,475,2
24100,442,2
24200,545,2
24300,318,2
24400,434,2
24500,338,2
24600,529,2
24700,533,2
24800,551,2
24900,597,2
25000,452,2
25100,539,2
25200,358,2
25300,543,2
25400,649,2
25500,445,2
25600,553,2
25700,437,2
25800,508,2
25900,474,2
26000,624,2
26100,536,2
26200,427,2
26300,442,2
26400,523,2
26500,508,2
26600,881,2
26700,1042,2
26800,619,2
26900,491,2
27000,648,2
27100,717,2
27200,3968,2
27300,603,2
27400,597,2
27500,506,2
27600,401,2
27700,771,2
27800,449,2
27900,347,2
28000,797,2
28100,562,2
28200,786,2
28300,696,2
28400,725,2
28500,561,2
28600,646,2
28700,651,2
28800,658,2
28900,623,2
29000,386,2
29100,560,2
29200,612,2
29300,453,2
29400,656,2
29500,926,2
29600,677,2
29700,701,2
29800,603,2
29900,833,2
30000,570,2
30100,701,2
30200,663,2
30300,501,2
30400,453,2
30500,395,2
30600,598,2
30700,387,2
30800,455,2
30900,493,2
31000,523,2
31100,487,2
31200,662,2
31300,366,2
31400,344,2
31500,421,2
31600,674,2
31700,558,2
31800,689,2
31900,608,2
32000,795,2
32100,797,2
32200,450,2
32300,594,2
32400,558,2
32500,575,2
32600,484,2
32700,713,2
32800,1106,2
32900,433,2
33000,676,2
33100,499,2
33200,865,2
33300,863,2
33400,441,2
33500,1052,2
33600,552,2
33700,1284,2
33800,530,2
33900,492,2
34000,1667,2
34100,686,2
34200,461,2
34300,912,2
34400,555,2
34500,858,2
34600,339,2
34700,485,2
34800,621,2
34900,360,2
35000,480,2
35100,401,2
35200,425,2
35300,376,2
35400,396,2
35500,363,2
35600,343,2
35700,343,2
35800,583,2
35900,417,2
36000,991,2
36100,515,2
36200,596,2
36300,467,2
36400,447,2
36500,322,2
36600,518,2
36700,561,2
36800,736,2
36900,627,2
37000,545,2
37100,565,2
37200,331,2
37300,462,2
37400,471,2
37500,431,2
37600,509,2
37700,579,2
37800,343,2
37900,385,2
38000,551,2
38100,1789,2
38200,573,2
38300,475,2
38400,520,2
38500,588,2
38600,332,2
38700,569,2
38800,480,2
38900,585,2
39000,583,2
39100,688,2
39200,596,2
39300,559,2
39400,481,2
39500,373,2
39600,426,2
39700,441,2
39800,496,2
39900,1158,2
40000,419,2
40100,628,2
40200,574,2
40300,828,2
40400,438,2
40500,679,2
40600,509,2
40700,623,2
40800,453,2
40900,502,2
41000,802,2
41100,350,2
41200,524,2
41300,473,2
41400,545,2
41500,436,2
41600,538,2
41700,636,2
41800,587,2
41900,393,2
42000,538,2
42100,1195,2
42200,629,2
42300,985,2
42400,997,2
42500,378,2
42600,696,2
42700,779,2
42800,722,2
42900,551,2
43000,399,2
43100,350,2
43200,557,2
43300,371,2
43400,406,2
43500,712,2
43600,469,2
43700,691,2
43800,484,2
43900,569,2
44000,516,2
44100,427,2
44200,466,2
44300,496,2
44400,513,2
44500,716,2
44600,353,2
44700,495,2
44800,488,2
44900,601,2
45000,987,2
45100,528,2
45200,389,2
45300,613,2
45400,422,2
45500,508,2
45600,595,2
45700,548,2
45800,491,2
45900,705,2
46000,423,2
46100,637,2
46200,628,2
46300,591,2
46400,542,2
46500,475,2
46600,715,2
46700,388,2
46800,259,2
46900,448,2
47000,355,2
47100,491,2
47200,360,2
47300,298,2
47400,447,2
47500,534,2
47600,436,2
47700,462,2
47800,454,2
47900,563,2
48000,414,2
48100,440,2
48200,413,2
48300,518,2
48400,544,2
48500,439,2
48600,478,2
48700,521,2
48800,471,2
48900,285,2
49000,348,2
49100,309,2
49200,477,2
49300,486,2
49400,505,2
49500,487,2
49600,463,2
49700,665,2
49800,405,2
49900,720,2
50000,515,2
50100,478,2
50200,494,2
50300,332,2
50400,381,2
50500,353,2
50600,529,2
50700,442,2
50800,667,2
50900,444,2
51000,645,2
51100,385,2
51200,409,2
51300,697,2
51400,267,2
51500,300,2
51600,632,2
51700,520,2
51800,404,2
51900,278,2
52000,473,2
52100,361,2
52200,566,2
52300,476,2
52400,473,2
52500,595,2
52600,484,2
52700,484,2
52800,437,2
52900,435,2
53000,401,2
53100,267,2
53200,610,2
53300,740,2
53400,565,2
53500,526,2
53600,690,2
53700,378,2
53800,375,2
53900,340,2
54000,197,2
54100,595,2
54200,938,2
54300,509,2
54400,295,2
54500,652,2
54600,523,2
54700,584,2
54800,594,2
54900,366,2
55000,469,2
55100,572,2
55200,482,2
55300,456,2
55400,327,2
55500,371,2
55600,383,2
55700,473,2
55800,298,2
55900,411,2
56000,567,2
56100,666,2
56200,734,2
56300,827,2
56400,554,2
56500,480,2
56600,691,2
56700,531,2
56800,438,2
56900,487,2
57000,391,2
57100,613,2
57200,377,2
57300,514,2
57400,632,2
57500,267,2
57600,467,2
57700,303,2
57800,516,2
57900,528,2
58000,447,2
58100,597,2
58200,362,2
58300,596,2
58400,461,2
58500,1179,2
58600,483,2
58700,391,2
58800,960,2
58900,585,2
59000,393,2
59100,1461,2
59200,950,2
59300,455,2
59400,425,2
59500,483,2
59600,2739,2
59700,662,2
59800,392,2
59900,784,2
60000,840,2
60100,808,2
60200,416,2
60300,688,2
60400,330,2
60500,310,2
60600,417,2
60700,369,2
60800,444,2
60900,591,2
61000,559,2
61100,434,2
61200,895,2
61300,781,2
61400,570,2
61500,444,2
61600,485,2
61700,342,2
61800,582,2
61900,484,2
62000,342,2
62100,371,2
62200,433,2
62300,356,2
62400,307,2
62500,587,2
62600,613,2
62700,723,2
62800,378,2
62900,974,2
63000,713,2
63100,385,2
63200,480,2
63300,426,2
63400,557,2
63500,453,2
63600,804,2
63700,297,2
63800,291,2
63900,312,2
64000,580,2
64100,269,2
64200,313,2
64300,394,2
64400,500,2
64500,593,2
64600,525,2
64700,516,2
64800,963,2
64900,404,2
65000,810,2
65100,551,2
65200,705,2
65300,838,2
65400,659,2
65500,338,2
65600,412,2
65700,668,2
65800,248,2
65900,1933,2
66000,885,2
66100,547,2
66200,1278,2
66300,475,2
66400,387,2
66500,359,2
66600,559,2
66700,694,2
66800,3236,2
66900,928,2
67000,484,2
67100,705,2
67200,763,2
67300,874,2
67400,956,2
67500,468,2
67600,437,2
67700,311,2
67800,428,2
67900,560,2
68000,224,2
68100,443,2
68200,376,2
68300,745,2
68400,379,2
68500,1017,2
68600,452,2
68700,954,2
68800,537,2
68900,350,2
69000,340,2
69100,505,2
69200,897,2
69300,553,2
69400,388,2
69500,344,2
69600,360,2
69700,278,2
69800,323,2
69900,366,2
70000,501,2
70100,368,2
70200,300,2
70300,351,2
70400,297,2
70500,478,2
70600,284,2
70700,299,2
70800,361,2
70900,426,2
71000,462,2
71100,381,2
71200,321,2
71300,419,2
71400,303,2
71500,319,2
71600,345,2
71700,624,2
71800,402,2
71900,299,2
72000,375,2
72100,395,2
72200,439,2
72300,469,2
72400,358,2
72500,6289,2
72600,378,2
72700,373,2
72800,496,2
72900,383,2
73000,650,2
73100,739,2
73200,579,2
73300,576,2
73400,13963,2
73500,712,2
73600,320,2
73700,203,2
73800,511,2
73900,396,2
74000,438,2
74100,323,2
74200,295,2
74300,444,2
74400,430,2
74500,571,2
74600,458,2
74700,425,2
74800,620,2
74900,613,2
75000,872,2
75100,806,2
75200,518,2
75300,463,2
75400,384,2
75500,294,2
75600,396,2
75700,488,2
75800,416,2
75900,644,2
76000,559,2
76100,691,2
76200,301,2
76300,520,2
76400,314,2
76500,275,2
76600,380,2
76700,512,2
76800,540,2
76900,423,2
77000,679,2
77100,702,2
77200,351,2
77300,406,2
77400,550,2
77500,455,2
77600,618,2
77700,462,2
77800,747,2
77900,467,2
78000,677,2
78100,638,2
78200,441,2
78300,357,2
78400,404,2
78500,509,2
78600,373,2
78700,388,2
78800,532,2
78900,768,2
79000,470,2
79100,687,2
79200,433,2
79300,381,2
79400,885,2
79500,274,2
79600,279,2
79700,507,2
79800,698,2
79900,529,2
80000,333,2
80100,472,2
80200,589,2
80300,304,2
80400,642,2
80500,364,2
80600,441,2
80700,346,2
80800,362,2
80900,286,2
81000,248,2
81100,209,2
81200,321,2
81300,364,2
81400,307,2
81500,514,2
81600,494,2
81700,710,2
81800,680,2
81900,462,2
82000,1347,2
82100,320,2
82200,575,2
82300,310,2
82400,273,2
82500,463,2
82600,321,2
82700,546,2
82800,524,2
82900,370,2
83000,295,2
83100,353,2
83200,351,2
83300,401,2
83400,651,2
83500,346,2
83600,552,2
83700,398,2
83800,362,2
83900,419,2
84000,281,2
84100,329,2
84200,495,2
84300,372,2
84400,491,2
84500,550,2
84600,354,2
84700,268,2
84800,376,2
84900,479,2
85000,417,2
85100,244,2
85200,327,2
85300,607,2
85400,461,2
85500,456,2
85600,466,2
85700,439,2
85800,220,2
85900,614,2
86000,163,2
86100,380,2
86200,580,2
86300,440,2
86400,418,2
86500,467,2
86600,312,2
86700,244,2
86800,379,2
86900,430,2
87000,336,2
87100,255,2
87200,350,2
87300,783,2
87400,371,2
87500,496,2
87600,476,2
87700,378,2
87800,342,2
87900,355,2
88000,327,2
88100,419,2
88200,601,2
88300,672,2
88400,548,2
88500,601,2
88600,733,2
88700,378,2
88800,443,2
88900,949,2
89000,659,2
89100,393,2
89200,469,2
89300,517,2
89400,492,2
89500,468,2
89600,395,2
89700,329,2
89800,323,2
89900,370,2
90000,422,2
90100,419,2
90200,513,2
90300,685,2
90400,683,2
90500,472,2
90600,384,2
90700,363,2
90800,401,2
90900,254,2
91000,548,2
91100,494,2
91200,500,2
91300,544,2
91400,384,2
91500,282,2
91600,419,2
91700,529,2
91800,549,2
91900,272,2
92000,415,2
92100,327,2
92200,700,2
92300,425,2
92400,548,2
92500,312,2
92600,401,2
92700,293,2
92800,467,2
92900,580,2
93000,433,2
93100,556,2
93200,663,2
93300,373,2
93400,480,2
93500,392,2
93600,457,2
93700,580,2
93800,483,2
93900,620,2
94000,978,2
94100,200,2
94200,378,2
94300,400,2
94400,305,2
94500,557,2
94600,419,2
94700,961,2
94800,412,2
94900,445,2
95000,468,2
95100,8843,2
95200,291,2
95300,448,2
95400,385,2
95500,437,2
95600,421,2
95700,359,2
95800,425,2
95900,459,2
96000,514,2
96100,334,2
96200,349,2
96300,641,2
96400,508,2
96500,263,2
96600,417,2
96700,690,2
96800,557,2
96900,740,2
97000,853,2
97100,688,2
97200,501,2
97300,602,2
97400,595,2
97500,383,2
97600,395,2
97700,224,2
97800,453,2
97900,946,2
98000,719,2
98100,633,2
98200,391,2
98300,669,2
98400,872,2
98500,342,2
98600,348,2
98700,690,2
